size	insert	merge	      heap		quick		hybrid
100	4152	      34344	      5011	      3328		2586
200	13246	      71548	      13376	      6903		6021
300	28112	      113336	18630	      11171		9375
400	49808	      145719	25736	      15451		12566
500	75502	      184804	33696	      19943		16697
600	114102	209424	43774	      25344		20077
700	139767	253453	51633	      30886		24370
800	183561	284883	61024	      34559		28435
900	238597	310075	72577	      39336		32741
1000	292151	399514	73375	      44639		36767
1100	361767	533730	81983       52535		41158
1200	485952	486987	89593	      54281		46847
1300	539147	597910	101968	61268		53117
1400	681573	515072	110967	67230		57215
1500	863191	760181	116567	74778		59877
1600	962936	1001563	130915	77397		68097
1700	1227698	1267533	137292	80840		67773
1800	1498445	869389	144769	93658		78439
1900	1150168	867216	154553	90993		77299
2000	1471180	1129957	164205	103133	82428
2100	1470819	973380	168966	105081	86008
2200	1911670	1017505	185593	112251	93549
2300	1656746	1260658	190977	133553	97214
2400	1603422	1076754	205548	118031	99987
2500	1740125	1012283	219635	124887	114918
2600	1884389	939443	244908	130508	120355
2700	2041762	943299	259085	134984	128802
2800	2164606	980304	263371	146533	133572
2900	2292634	1014628	323317	148713	133087
3000	2495294	1101048	307341	168680	135963
3100	2683567	1089081	271493	162211	137291
3200	2808873	1165976	300756	180808	144603
3300	3130197	1201986	444088	192989	167188
3400	3171217	1188375	482900	187168	163631
3500	3404016	1267920	323372	187845	177648
3600	3571315	1397978	435962	244991	192637
3700	3864970	1338437	625541	206154	171530
3800	3945332	1358090	484561	223961	173337
3900	4286050	1398512	453060	218815	177638
4000	4377599	1369058	443349	234468	208220
4100	4662050	1468969	474946	326331	300273
4200	4835507	1506686	471080	430642	343471
4300	5051095	1504110	468929	415573	226076
4400	5281313	1564100	489248	332241	231611
4500	5571470	1605941	463205	404552	300509
4600	5884781	1646276	425824	504608	570867
4700	6157656	1700903	441408	330039	347893
4800	6347760	1716449	479549	299669	247389
4900	6561891	1787178	621083	337118	256251
5000	6847325	1837044	663588	361338	240475
5100	7146231	1810823	501421	344967	260364
5200	7353234	1838178	480869	320228	247705
5300	7748777	1952858	483281	325913	259063
5400	8075623	1923637	499598	350045	274531
5500	8275983	1940914	500662	349512	329084
5600	8619540	1966370	510564	343815	289226
5700	8877971	2023175	528165	344185	296873
5800	9234833	2093521	525546	348111	310751
5900	9597536	2083958	547585	381995	308258
6000	9939778	2142478	556768	505835	334367
6100	10197230	2241139	583048	517426	355510
6200	10540770	2273751	583721	389100	345271
6300	10948212	2363937	574169	352359	315480
6400	11289818	2277328	626359	358037	328324
6500	11630810	2342530	606316	375310	328915
6600	11970121	2371918	598973	363413	367776
6700	12365054	2431052	636906	385752	484309
6800	12685399	2497980	652127	379972	520339
6900	13163180	2517337	638858	382963	364340
7000	13436803	2556820	671387	414286	353410
7100	13888555	2551308	661342	393119	343271
7200	14237827	2674376	784524	410018	358141
7300	14782252	2607831	772276	407909	355968
7400	15226178	2697542	693332	407359	373428
7500	15538547	2733205	727731	422348	387048
7600	15897596	2791489	713129	434064	372506
7700	16242591	2857493	713030	438766	381754
7800	16708431	2889409	749897	445150	375689
7900	17214545	2819230	741315	452486	387866
8000	17573595	2864440	753886	463308	409387
8100	18154506	2864673	824434	460534	395233
8200	18727215	2903857	807524	465958	405646
8300	19099171	3014117	800509	469636	443205
8400	19509647	2994962	779055	491990	432173
8500	19870512	3072332	793543	498052	425653
8600	20376669	3070836	818677	498044	427719
8700	20992146	3192865	807797	541846	430385
8800	21425706	3147554	847402	512785	444201
8900	21756767	3219801	820351	520700	442580
9000	22323376	3245725	859631	633804	487320
9100	23272293	3277449	858888	586216	448497
9200	23533687	3365611	894750	527751	471563
9300	23853805	3406635	891749	531516	468614
9400	24274128	3379400	907624	542214	473644
9500	24959925	3447386	928273	544875	575469
9600	25530296	3486812	1001490	540140	516275
9700	25976935	3510713	932391	552955	487639
9800	26422782	3503963	955303	577223	490839
9900	26950386	3631078	946098	560991	505773
10000	27731437	3598643	971579	574913	498592
