size	ins   quick	hybrid
1	15	23	14
2	22	21	22
3	28	32	30
4	37	38	38
5	47	49	49
6	60	68	63
7	74	93	75
8	90	119	92
9	103	147	100
10	115	176	112
11	132	207	123
12	143	227	140
13	163	254	153
14	179	278	167
15	195	302	181
16	231	323	197
17	230	355	214
18	267	379	228
19	266	404	242
20	284	432	261
21	302	460	325
22	327	526	362
23	373	509	310
24	370	537	328
25	393	570	344
26	434	598	363
27	584	635	381
28	493	658	406
29	508	683	417
30	566	755	450
31	716	804	458
32	562	871	480
33	587	813	508
34	679	836	673
35	715	861	628
36	722	895	721
37	693	944	762
38	723	952	835
39	753	1002	875
40	805	1151	896
41	828	1152	904
42	845	1221	1113
43	878	1099	963
44	912	1150	1183
45	935	1203	807
46	967	1264	924
47	1009	1240	950
48	1038	1256	970
49	1072	1286	929
50	1154	1351	943
51	1180	1359	934
52	1180	1395	980
53	1212	1583	995
54	1247	1518	1032
55	1291	1500	1043
56	1336	1530	1074
57	1372	1549	1120
58	1404	1585	1176
59	1448	1618	1160
60	1526	1655	1199
61	1648	1728	1215
62	1581	1753	1258
63	1617	1896	1835
64	1688	2273	1366
65	1698	2289	1413
66	1738	2261	1389
67	1833	2387	1427
68	1877	2404	1446
69	1893	2094	1482
70	1921	2025	1525
71	1991	2036	1588
72	2016	2060	1674
73	2007	2122	1739
74	2982	2146	1828
75	2374	2174	1690
76	2218	2210	1731
77	2265	2247	1641
78	2285	2270	1674
79	2418	2499	1695
80	2436	2354	1743
81	2479	2939	1802
82	2532	2412	1786
83	2576	2451	1821
84	2656	2625	1857
85	3163	2503	1900
86	2857	2473	1909
87	2905	2631	2074
88	2874	2636	1953
89	2898	3286	1980
90	2932	2604	2010
91	3302	2642	2051
92	3178	2770	2070
93	3161	3308	2133
94	3144	2881	2159
95	3614	2779	2148
96	3475	2825	2174
97	4398	3051	2235
98	4299	3439	2495
99	4436	3110	2748
100	4472	2959	2238
101	4821	3462	2376
102	4573	3373	2317
103	4067	3204	2519
104	4265	3281	2635
105	4239	3335	2430
106	3879	3449	2465
107	4146	3975	2434
108	4374	3523	2648
109	4474	3672	2826
110	4484	4073	2556
111	4363	3708	2605
112	4630	3523	2702
113	4422	3529	3371
114	5449	4718	3121
115	4903	4180	2706
116	5173	3748	2889
117	5841	3675	3168
118	5233	3701	3510
119	5598	3777	3188
120	6108	3810	3149
121	7240	3835	3939
122	7350	3850	2947
123	6479	3986	3295
124	5225	4472	3313
125	5630	4595	3312
126	7181	5062	3159
127	7310	4530	3645
128	8082	4282	3650
129	7363	4237	4229
130	6904	5469	4215
131	5930	4998	3662
132	7357	4885	3688
133	8074	5536	3387
134	6335	4844	3324
135	6207	4311	3339
136	6212	4368	3403
137	6288	4408	3408
138	6441	4498	3507
139	6629	4483	3574
140	6594	4569	4630
141	6621	4919	5089
142	8204	5055	4932
143	9347	4966	5302
144	8475	4731	4482
145	14702	5528	4780
146	10069	5798	4777
147	16078	5307	4879
148	11210	6219	4592
149	9155	5904	4135
150	8206	5777	3976
151	8682	4952	3855
152	8872	5206	4087
153	8491	5156	5082
154	10283	5085	5264
155	10897	5155	3988
156	12361	5256	4076
157	10488	5245	4097
158	17806	5289	4568
159	12815	5293	4137
160	13792	8696	4202
161	14648	7276	4416
162	15327	6621	4231
163	11575	9551	4722
164	9906	8533	4260
165	10415	7263	5466
166	10378	13151	4860
167	11319	16131	5857
168	9197	6860	7462
169	9187	6759	9098
170	9539	5774	6484
171	10051	6025	11003
172	9902	6238	8361
173	12187	7037	8083
174	10058	8190	6400
175	11527	7601	5464
176	10604	9197	4759
177	12376	8396	6618
178	12375	8636	5071
179	12902	12437	5960
180	12128	11475	8371
181	12439	15657	7331
182	14228	10725	7245
183	14175	10067	7875
184	13600	8453	9552
185	11595	8121	8327
186	12809	6723	11428
187	13145	6327	12092
188	13584	6427	9027
189	13883	6435	7064
190	13651	6432	7322
191	13888	6582	8167
192	14774	6620	5969
193	15794	7006	6068
194	13557	7285	5365
195	12198	8335	5307
196	12396	7939	5357
197	15029	8077	5329
198	13014	8502	5444
199	13513	7577	5430
200	12810	7820	5664
